ï»¿POL_NO,CLAIMANT_COUNTRY_Anonymized,CLM_NO,Make,VEHICLE_MODEL,Policy From Year,Accident  Year,Body Type,SI Band,Claim Amount
Policy Number 9009,Country 053,Claim Number 16304,NISSAN,ALTIMA,2018,2018,1. Saloon, 75K to 100K , 600.00 
Policy Number 8577,Country 053,Claim Number 16154,MITSUBISHI,PAJERO,2018,2018,2. Four Wheel Drive, 75K to 100K ,-700.00 
Policy Number 8705,Country 053,Claim Number 16658,MITSUBISHI,PAJERO,2018,2018,2. Four Wheel Drive, 75K to 100K , 600.00 
Policy Number 9378,Country 024,Claim Number 16612,VOLVO,V40,2018,2018,2. Four Wheel Drive, 50K to 75K ," 15,000.00 "
Policy Number 5526,Country 136,Claim Number 10630,DODGE,VIPER,2018,2018,1. Saloon, 250K+ ," 18,500.00 "
Policy Number 9633,Country 137,Claim Number 16218,TOYOTA,FORTUNER,2018,2018,2. Four Wheel Drive, 75K to 100K ," 6,500.00 "
Policy Number 9736,Country 091,Claim Number 15939,NISSAN,PATROL,2018,2018,2. Four Wheel Drive, 150K to 200K , 700.00 
Policy Number 14795,Country 012,Claim Number 26025,BMW,520i,2017,2017,1. Saloon, 75K to 100K ," 15,000.00 "
Policy Number 14795,Country 012,Claim Number 26025,BMW,520i,2017,2017,1. Saloon, 75K to 100K ,"-3,104.00 "
Policy Number 13349,Country 053,Claim Number 23156,SUZUKI,APV,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 25K to 50K ," 12,000.00 "
Policy Number 13349,Country 053,Claim Number 23156,SUZUKI,APV,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 25K to 50K ,"-5,432.00 "
Policy Number 13349,Country 053,Claim Number 23156,SUZUKI,APV,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 25K to 50K ,-56.00 
Policy Number 7459,Country 053,Claim Number 14299,TOYOTA,YARIS,2017,2017,1. Saloon, 0 to 25K ," 3,240.00 "
Policy Number 7380,Country 053,Claim Number 14307,KIA,SPORTAGE,2017,2017,2. Four Wheel Drive, 50K to 75K ," 1,520.00 "
Policy Number 7440,Country 091,Claim Number 14335,HONDA,CITY,2017,2017,1. Saloon, 0 to 25K ," 2,500.00 "
Policy Number 5160,Country 095,Claim Number 9619,CHEVROLET,CORVETTE,2017,2017,1. Saloon, 200K to 250K , 620.00 
Policy Number 14362,Country 062,Claim Number 25380,TOYOTA,FORTUNER,2017,2017,2. Four Wheel Drive, 75K to 100K ," 25,000.00 "
Policy Number 7309,Country 118,Claim Number 14323,TOYOTA,COROLLA,2017,2017,1. Saloon, 25K to 50K ,"-1,050.00 "
Policy Number 14758,Country 090,Claim Number 25975,BENTLEY,CONTINENTAL,2017,2017,1. Saloon, 250K+ ," 21,000.00 "
Policy Number 14362,Country 062,Claim Number 25380,TOYOTA,FORTUNER,2017,2017,2. Four Wheel Drive, 75K to 100K ,"-5,335.00 "
Policy Number 14758,Country 090,Claim Number 25975,BENTLEY,CONTINENTAL,2017,2017,1. Saloon, 250K+ ,"-6,402.00 "
Policy Number 7337,Country 091,Claim Number 14365,TOYOTA,PRADO,2017,2017,2. Four Wheel Drive, 50K to 75K ," 2,300.00 "
Policy Number 7815,Country 082,Claim Number 14574,MITSUBISHI,PAJERO,2018,2018,2. Four Wheel Drive, 50K to 75K , 450.00 
Policy Number 7623,Country 053,Claim Number 14633,NISSAN,X TRAIL,2017,2018,2. Four Wheel Drive, 50K to 75K ," 12,000.00 "
Policy Number 7623,Country 053,Claim Number 14633,NISSAN,X TRAIL,2017,2018,2. Four Wheel Drive, 50K to 75K , 520.00 
Policy Number 7623,Country 053,Claim Number 14633,NISSAN,X TRAIL,2017,2018,2. Four Wheel Drive, 50K to 75K , 230.00 
Policy Number 13349,Country 053,Claim Number 23156,SUZUKI,APV,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 25K to 50K , 175.00 
Policy Number 14164,Country 062,Claim Number 25155,HONDA,ACCORD COUPE,2017,2018,1. Saloon, 75K to 100K , 900.00 
Policy Number 7623,Country 053,Claim Number 14633,NISSAN,X TRAIL,2017,2018,2. Four Wheel Drive, 50K to 75K ,"-2,425.00 "
Policy Number 7401,Country 069,Claim Number 14695,PEUGEOT,207,2017,2018,1. Saloon, 0 to 25K , 650.00 
Policy Number 14387,Country 053,Claim Number 25438,VOLKSWAGEN,JETTA,2017,2018,1. Saloon, 25K to 50K ," 1,200.00 "
Policy Number 13449,Country 091,Claim Number 23363,MITSUBISHI,CANTER,2017,2018,3A. Light Pick-Ups and Vans upto 3 Tons, 0 to 25K ," 4,200.00 "
Policy Number 5591,Country 091,Claim Number 10362,MASERATI,QUATTROPORTE,2018,2018,1. Saloon, 250K+ ," 17,000.00 "
Policy Number 8406,Country 136,Claim Number 15773,LEXUS,LX570,2018,2018,2. Four Wheel Drive, 100K to 150K ," 1,900.00 "
Policy Number 8363,Country 092,Claim Number 15782,HYUNDAI,AZERA,2018,2018,1. Saloon, 50K to 75K ," 7,500.00 "
Policy Number 14396,Country 091,Claim Number 25451,MERCEDES BENZ,M-CLASS,2017,2018,Missing Body Type, 25K to 50K , 935.00 
Policy Number 14396,Country 091,Claim Number 25451,MERCEDES BENZ,M-CLASS,2017,2018,Missing Body Type, 25K to 50K , 935.00 
Policy Number 14396,Country 091,Claim Number 25451,MERCEDES BENZ,M-CLASS,2017,2018,Missing Body Type, 25K to 50K ,-935.00 
Policy Number 8657,Country 053,Claim Number 15771,HYUNDAI,TUCSON,2018,2018,2. Four Wheel Drive, 25K to 50K ," 3,000.00 "
Policy Number 8357,Country 038,Claim Number 15769,MITSUBISHI,PAJERO,2018,2018,2. Four Wheel Drive, 25K to 50K , 150.00 
Policy Number 8617,Country 062,Claim Number 15765,HONDA,ACCORD,2018,2018,1. Saloon, 25K to 50K , 300.00 
Policy Number 8363,Country 092,Claim Number 15782,HYUNDAI,AZERA,2018,2018,1. Saloon, 50K to 75K , 25.00 
Policy Number 8363,Country 092,Claim Number 15782,HYUNDAI,AZERA,2018,2018,1. Saloon, 50K to 75K ,-825.00 
Policy Number 8615,Country 092,Claim Number 15973,MERCEDES BENZ,E-CLASS,2018,2018,1. Saloon, 100K to 150K , 700.00 
Policy Number 9057,Country 053,Claim Number 15981,FORD,EDGE,2018,2018,2. Four Wheel Drive, 25K to 50K ," 2,100.00 "
Policy Number 9034,Country 053,Claim Number 16009,HONDA,CRV,2018,2018,2. Four Wheel Drive, 25K to 50K ," 8,000.00 "
Policy Number 9034,Country 053,Claim Number 16009,HONDA,CRV,2018,2018,2. Four Wheel Drive, 25K to 50K , 520.00 
Policy Number 9034,Country 053,Claim Number 16009,HONDA,CRV,2018,2018,2. Four Wheel Drive, 25K to 50K , 100.00 
Policy Number 5616,Country 136,Claim Number 10410,ASTON MARTIN,RAPIDE,2018,2018,1. Saloon, 250K+ , 420.00 
Policy Number 5616,Country 136,Claim Number 10410,ASTON MARTIN,RAPIDE,2018,2018,1. Saloon, 250K+ , 420.00 
Policy Number 5616,Country 136,Claim Number 10410,ASTON MARTIN,RAPIDE,2018,2018,1. Saloon, 250K+ ,-420.00 
Policy Number 13417,Country 091,Claim Number 23388,NISSAN,SENTRA,2017,2018,1. Saloon, 25K to 50K ," 1,100.00 "
Policy Number 8680,Country 063,Claim Number 15929,NISSAN,SUNNY,2018,2018,1. Saloon, 25K to 50K , 210.00 
Policy Number 8674,Country 053,Claim Number 15842,NISSAN,SENTRA,2018,2018,1. Saloon, 0 to 25K ,"-1,400.00 "
Policy Number 9160,Not Available,Claim Number 16181,TOYOTA,COROLLA,2018,2018,1. Saloon, 25K to 50K ,"-7,600.00 "
Policy Number 13471,Country 091,Claim Number 23378,TOYOTA,YARIS,2018,2018,1. Saloon, 25K to 50K , 800.00 
Policy Number 13471,Country 091,Claim Number 23378,TOYOTA,YARIS,2018,2018,1. Saloon, 25K to 50K ,-800.00 
Policy Number 5591,Country 091,Claim Number 10362,MASERATI,QUATTROPORTE,2018,2018,1. Saloon, 250K+ , 135.00 
Policy Number 5591,Country 091,Claim Number 10362,MASERATI,QUATTROPORTE,2018,2018,1. Saloon, 250K+ ,"-4,500.00 "
Policy Number 7662,Country 136,Claim Number 14802,PEUGEOT,308,2017,2018,1. Saloon, 25K to 50K ," 1,800.00 "
Policy Number 7662,Country 136,Claim Number 14802,PEUGEOT,308,2017,2018,1. Saloon, 25K to 50K ,"-1,800.00 "
Policy Number 5645,Country 091,Claim Number 10536,AUDI,A8,2018,2018,1. Saloon, 250K+ ," 28,000.00 "
Policy Number 3523,Country 136,Claim Number 5320,TOYOTA,COASTER,2018,2018,4. Buses, 100K to 150K ," 4,200.00 "
Policy Number 8366,Country 136,Claim Number 16083,MERCEDES BENZ,E-CLASS,2018,2018,1. Saloon, 50K to 75K , 123.00 
Policy Number 8366,Country 136,Claim Number 16083,MERCEDES BENZ,E-CLASS,2018,2018,1. Saloon, 50K to 75K , 400.00 
Policy Number 8864,Country 053,Claim Number 16331,TOYOTA,FORTUNER,2018,2018,2. Four Wheel Drive, 25K to 50K , 250.00 
Policy Number 9034,Country 053,Claim Number 16009,HONDA,CRV,2018,2018,2. Four Wheel Drive, 25K to 50K , 58.00 
Policy Number 9034,Country 053,Claim Number 16009,HONDA,CRV,2018,2018,2. Four Wheel Drive, 25K to 50K ,"-1,950.00 "
Policy Number 8680,Country 063,Claim Number 15929,NISSAN,SUNNY,2018,2018,1. Saloon, 25K to 50K , 900.00 
Policy Number 8619,Country 091,Claim Number 15920,TOYOTA,LAND CRUISER,2018,2018,2. Four Wheel Drive, 150K to 200K ,-800.00 
Policy Number 8288,Country 091,Claim Number 16610,TOYOTA,LAND CRUISER,2017,2018,2. Four Wheel Drive, 100K to 150K , 500.00 
Policy Number 9475,Country 053,Claim Number 16014,FORD,ESCAPE,2018,2018,2. Four Wheel Drive, 25K to 50K ," 1,700.00 "
Policy Number 9475,Country 053,Claim Number 16014,FORD,ESCAPE,2018,2018,2. Four Wheel Drive, 25K to 50K ,"-1,700.00 "
Policy Number 5645,Country 091,Claim Number 10536,AUDI,A8,2018,2018,1. Saloon, 250K+ ," 6,770.00 "
Policy Number 5645,Country 091,Claim Number 10536,AUDI,A8,2018,2018,1. Saloon, 250K+ , 500.00 
Policy Number 5645,Country 091,Claim Number 10536,AUDI,A8,2018,2018,1. Saloon, 250K+ ,"-13,200.00 "
Policy Number 9753,Country 053,Claim Number 16068,HONDA,CIVIC,2018,2018,1. Saloon, 25K to 50K ," 3,800.00 "
Policy Number 10737,Country 053,Claim Number 16592,MITSUBISHI,LANCER EX,2018,2018,1. Saloon, 25K to 50K ," 1,800.00 "
Policy Number 9463,Country 053,Claim Number 16671,HYUNDAI,SONATA,2018,2018,1. Saloon, 25K to 50K ,"-1,700.00 "
Policy Number 10536,Country 095,Claim Number 16615,MITSUBISHI,PAJERO SPORT,2018,2018,2. Four Wheel Drive, 25K to 50K ," 1,520.00 "
Policy Number 13464,Country 053,Claim Number 23445,NISSAN,PATHFINDER,2017,2018,2. Four Wheel Drive, 50K to 75K , 500.00 
Policy Number 10750,Country 117,Claim Number 16668,MITSUBISHI,LANCER EX,2018,2018,1. Saloon, 0 to 25K , 420.00 
Policy Number 10041,Country 058,Claim Number 16434,BMW,X6,2018,2018,2. Four Wheel Drive, 50K to 75K ," 1,143.00 "
Policy Number 9995,Country 117,Claim Number 16635,HONDA,PILOT,2018,2018,2. Four Wheel Drive, 50K to 75K ,"-1,800.00 "
Policy Number 8854,Country 053,Claim Number 16805,LEXUS,LX570,2018,2018,2. Four Wheel Drive, 50K to 75K , 800.00 
Policy Number 8363,Country 092,Claim Number 15782,HYUNDAI,AZERA,2018,2018,1. Saloon, 50K to 75K , 411.00 
Policy Number 7218,Country 136,Claim Number 14251,CHEVROLET,TRAILBLAZER,2017,2017,2. Four Wheel Drive, 100K to 150K ," 2,300.00 "
Policy Number 5560,Country 053,Claim Number 10254,JEEP,GRAND CHEROKEE,2018,2018,2. Four Wheel Drive, 200K to 250K ," 2,700.00 "
Policy Number 7457,Country 062,Claim Number 14663,FORD,EDGE,2017,2018,2. Four Wheel Drive, 100K to 150K ," 7,900.00 "
Policy Number 8825,Country 053,Claim Number 15732,DODGE,CHARGER,2018,2018,1. Saloon, 75K to 100K ," 2,300.00 "
Policy Number 8561,Country 053,Claim Number 15692,FORD,EDGE,2018,2018,2. Four Wheel Drive, 50K to 75K ," 45,147.00 "
Policy Number 7263,Country 122,Claim Number 14167,NISSAN,PATROL,2017,2017,1. Saloon, 100K to 150K ," 1,800.00 "
Policy Number 8162,Country 136,Claim Number 15325,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 75K to 100K ," 2,400.00 "
Policy Number 4999,Country 105,Claim Number 9752,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 200K to 250K ," 3,000.00 "
Policy Number 8146,Country 136,Claim Number 15474,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ," 3,000.00 "
Policy Number 8167,Country 136,Claim Number 15484,CHEVROLET,SILVERADO,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 75K to 100K ," 8,032.00 "
Policy Number 8173,Country 136,Claim Number 15488,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 100K to 150K ," 1,200.00 "
Policy Number 13673,Country 091,Claim Number 23700,MITSUBISHI,CANTER,2017,2017,3A. Pickup & Trucks, 0 to 25K ," 4,830.00 "
Policy Number 5060,Country 136,Claim Number 9931,CHEVROLET,CAMARO SS,2017,2017,1. Saloon, 200K to 250K ," 3,500.00 "
Policy Number 8160,Country 136,Claim Number 15421,CHEVROLET,SILVERADO,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 100K to 150K ," 10,500.00 "
Policy Number 8184,Country 136,Claim Number 15497,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 100K to 150K , 600.00 
Policy Number 8154,Country 055,Claim Number 15328,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 100K to 150K ," 10,460.00 "
Policy Number 8172,Country 136,Claim Number 15487,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 75K to 100K ," 2,000.00 "
Policy Number 8160,Country 136,Claim Number 15421,CHEVROLET,SILVERADO,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 100K to 150K ," 3,270.00 "
Policy Number 8159,Country 136,Claim Number 15553,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K , 900.00 
Policy Number 8165,Country 136,Claim Number 15324,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ," 4,655.00 "
Policy Number 14041,Country 136,Claim Number 24944,LAND ROVER,RANGE ROVER SPORT,2017,2017,2. Four Wheel Drive, 250K+ , 816.00 
Policy Number 8147,Country 136,Claim Number 15562,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K , 800.00 
Policy Number 14033,Country 136,Claim Number 24943,FORD,F-150,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 250K+ ," 1,600.00 "
Policy Number 8165,Country 136,Claim Number 15549,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ," 2,800.00 "
Policy Number 8165,Country 136,Claim Number 15549,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ," 2,800.00 "
Policy Number 14040,Country 102,Claim Number 24969,LEXUS,RX350,2017,2017,2. Four Wheel Drive, 200K to 250K ," 1,000.00 "
Policy Number 5227,Country 095,Claim Number 10057,MERCEDES BENZ,V-Class,2017,2017,4. Buses, 200K to 250K ," 2,300.00 "
Policy Number 3974,Country 136,Claim Number 6203,GMC,SIERRA,2017,2017,3A. Pickup & Trucks, 0 to 25K ," 1,800.00 "
Policy Number 14048,Country 136,Claim Number 24971,LAND ROVER,RANGE ROVER,2017,2017,2. Four Wheel Drive, 250K+ ," 2,000.00 "
Policy Number 13677,Country 053,Claim Number 23724,TOYOTA,YARIS HATCHBACK,2017,2018,1. Saloon, 0 to 25K ," 1,170.00 "
Policy Number 3980,Country 053,Claim Number 6211,FORD,MUSTANG,2017,2018,1. Saloon, 0 to 25K , 300.00 
Policy Number 13690,Country 136,Claim Number 23734,TOYOTA,LAND CRUISER PICKUP,2017,2017,3A. Pickup & Trucks, 0 to 25K ," 2,574.00 "
Policy Number 7878,Country 022,Claim Number 14571,LAND ROVER,RANGE ROVER EVOQUE,2018,2018,2. Four Wheel Drive, 150K to 200K ," 2,310.00 "
Policy Number 14381,Country 122,Claim Number 25435,FORD,EXPLORER,2017,2018,2. Four Wheel Drive, 100K to 150K , 350.00 
Policy Number 5659,Country 053,Claim Number 10407,LEXUS,RX350,2018,2018,2. Four Wheel Drive, 200K to 250K ," 3,484.00 "
Policy Number 5471,Country 132,Claim Number 10516,FORD,F-150,2017,2018,3A. Light Pick-Ups and Vans upto 3 Tons, 200K to 250K ," 1,000.00 "
Policy Number 13713,Country 136,Claim Number 23732,BMW,X5,2018,2018,2. Four Wheel Drive, 0 to 25K ," 13,600.00 "
Policy Number 5657,Country 083,Claim Number 10437,LAND ROVER,RANGE ROVER,2018,2018,2. Four Wheel Drive, 250K+ ," 8,100.00 "
Policy Number 5424,Country 092,Claim Number 10521,BMW,4 SERIES,2017,2018,1. Saloon, 200K to 250K ," 3,000.00 "
Policy Number 5528,Country 091,Claim Number 10551,TOYOTA,LAND CRUISER,2018,2018,2. Four Wheel Drive, 250K+ ," 2,500.00 "
Policy Number 13687,Country 056,Claim Number 23745,TOYOTA,FORTUNER,2017,2018,1. Saloon, 0 to 25K ," 2,200.00 "
Policy Number 8275,Country 053,Claim Number 16450,JEEP,WRANGLER UNLIMITED,2017,2018,2. Four Wheel Drive, 100K to 150K ," 1,600.00 "
Policy Number 13712,Country 100,Claim Number 23744,NISSAN,XTERRA,2018,2018,2. Four Wheel Drive, 0 to 25K ," 3,000.00 "
Policy Number 9007,Country 136,Claim Number 15821,HONDA,PILOT,2018,2018,2. Four Wheel Drive, 150K to 200K ," 1,600.00 "
Policy Number 9506,Not Available,Claim Number 16378,TOYOTA,LAND CRUISER PRADO,2018,2018,2. Four Wheel Drive, 75K to 100K ," 2,500.00 "
Policy Number 13702,Country 091,Claim Number 23749,MERCEDES,ACTROS,2017,2018,5. Equipments, 0 to 25K , 500.00 
Policy Number 7857,Country 053,Claim Number 14966,TOYOTA,FJ CRUISER,2018,2018,2. Four Wheel Drive, 100K to 150K ," 3,800.00 "
Policy Number 3979,Country 136,Claim Number 6222,TOYOTA,LANDCRUISER,2017,2018,1. Saloon, 0 to 25K ," 1,500.00 "
Policy Number 3972,Country 038,Claim Number 6208,LAND ROVER,RANGE ROVER,2017,2017,2. Four Wheel Drive, 25K to 50K ," 2,000.00 "
Policy Number 14399,Country 091,Claim Number 25414,LEXUS,RX350,2017,2018,2. Four Wheel Drive, 100K to 150K ," 4,400.00 "
Policy Number 14386,Country 136,Claim Number 25406,LEXUS,LX570,2017,2018,2. Four Wheel Drive, 50K to 75K ," 23,500.00 "
Policy Number 14387,Country 053,Claim Number 25452,VOLKSWAGEN,JETTA,2017,2018,1. Saloon, 25K to 50K ," 1,200.00 "
Policy Number 8651,Country 053,Claim Number 15986,AUDI,Q7,2018,2018,2. Four Wheel Drive, 100K to 150K ," 3,066.00 "
Policy Number 8707,Country 053,Claim Number 15791,HYUNDAI,SANTA FE,2018,2018,2. Four Wheel Drive, 50K to 75K ," 4,500.00 "
Policy Number 9083,Country 091,Claim Number 16091,MITSUBISHI,CANTER,2018,2018,3A. Light Pick-Ups and Vans upto 3 Tons, 50K to 75K , 900.00 
Policy Number 14359,Country 055,Claim Number 25464,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 75K to 100K , 765.00 
Policy Number 3975,Country 136,Claim Number 6209,CHEVROLET,TAHOE,2017,2017,2. Four Wheel Drive, 0 to 25K ," 4,800.00 "
Policy Number 8328,Country 132,Claim Number 16054,LEXUS,LX570,2017,2018,2. Four Wheel Drive, 100K to 150K ," 3,800.00 "
Policy Number 8543,Country 132,Claim Number 16052,CADILLAC,ATS,2018,2018,1. Saloon, 75K to 100K ," 1,800.00 "
Policy Number 13717,Country 145,Claim Number 23740,TOYOTA,LAND CRUISER,2018,2018,2. Four Wheel Drive, 0 to 25K ," 3,780.00 "
Policy Number 14400,Country 088,Claim Number 25479,NISSAN,XTERRA,2017,2018,2. Four Wheel Drive, 50K to 75K ," 4,350.00 "
Policy Number 8366,Country 136,Claim Number 16083,MERCEDES BENZ,E-CLASS,2018,2018,1. Saloon, 50K to 75K ," 3,800.00 "
Policy Number 9648,Country 053,Claim Number 15940,FORD,ESCAPE,2018,2018,2. Four Wheel Drive, 50K to 75K ," 1,400.00 "
Policy Number 8676,Country 053,Claim Number 15667,TOYOTA,TOYOTA 86,2018,2018,1. Saloon, 25K to 50K , 700.00 
Policy Number 14414,Country 038,Claim Number 25441,TOYOTA,YARIS,2018,2018,1. Saloon, 0 to 25K ," 1,900.00 "
Policy Number 7771,Country 095,Claim Number 14744,MITSUBISHI,LANCER EX,2018,2018,1. Saloon, 25K to 50K ," 3,000.00 "
Policy Number 8366,Country 136,Claim Number 16083,MERCEDES BENZ,E-CLASS,2018,2018,1. Saloon, 50K to 75K ," 25,000.00 "
Policy Number 9105,Country 053,Claim Number 16681,AUDI,A4,2018,2018,1. Saloon, 50K to 75K ," 3,188.00 "
Policy Number 7727,Country 069,Claim Number 14987,FORD,MUSTANG,2018,2018,1. Saloon, 25K to 50K , 900.00 
Policy Number 8961,Country 139,Claim Number 16295,AUDI,Q5,2018,2018,2. Four Wheel Drive, 50K to 75K ," 1,500.00 "
Policy Number 9178,Country 053,Claim Number 16460,TOYOTA,LAND CRUISER PRADO,2018,2018,2. Four Wheel Drive, 50K to 75K ," 1,000.00 "
Policy Number 13717,Country 145,Claim Number 23740,TOYOTA,LAND CRUISER,2018,2018,2. Four Wheel Drive, 0 to 25K ," 1,200.00 "
Policy Number 8481,Country 053,Claim Number 16910,NISSAN,PATHFINDER,2018,2018,2. Four Wheel Drive, 25K to 50K ," 2,600.00 "
Policy Number 5144,Country 091,Claim Number 10112,HIGER,KLQ6798,2017,2018,4. Buses, 200K to 250K ," 7,905.00 "
Policy Number 7720,Country 066,Claim Number 14599,AUDI,Q7,2018,2018,2. Four Wheel Drive, 50K to 75K ," 6,300.00 "
Policy Number 5866,Country 136,Claim Number 10979,BENTLEY,BENTAYGA,2017,2018,2. Four Wheel Drive, 250K+ ," 2,500.00 "
Policy Number 5652,Country 145,Claim Number 10467,LAND ROVER,RANGE ROVER SPORT,2018,2018,2. Four Wheel Drive, 200K to 250K ," 7,900.00 "
Policy Number 8588,Country 095,Claim Number 15736,MITSUBISHI,LANCER EX,2018,2018,1. Saloon, 25K to 50K ," 4,700.00 "
Policy Number 8563,Country 053,Claim Number 16025,PORSCHE,CAYENNE,2018,2018,2. Four Wheel Drive, 100K to 150K ," 1,600.00 "
Policy Number 7802,Country 095,Claim Number 14865,MITSUBISHI,PAJERO,2018,2018,2. Four Wheel Drive, 25K to 50K , 900.00 
Policy Number 8391,Country 098,Claim Number 15648,MITSUBISHI,PAJERO,2018,2018,1. Saloon, 75K to 100K ," 20,800.00 "
Policy Number 8634,Country 053,Claim Number 15711,HONDA,ACCORD,2018,2018,1. Saloon, 25K to 50K ," 2,400.00 "
Policy Number 8674,Country 053,Claim Number 15842,NISSAN,SENTRA,2018,2018,1. Saloon, 0 to 25K ," 1,400.00 "
Policy Number 8674,Country 053,Claim Number 15842,NISSAN,SENTRA,2018,2018,1. Saloon, 0 to 25K ," 1,400.00 "
Policy Number 8815,Country 139,Claim Number 15760,AUDI,A3,2018,2018,1. Saloon, 50K to 75K ," 1,600.00 "
Policy Number 8146,Country 136,Claim Number 16269,GMC,SIERRA,2017,2018,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K , 950.00 
Policy Number 8143,Country 069,Claim Number 16500,CHEVROLET,CAMARO,2017,2018,1. Saloon, 100K to 150K ," 1,200.00 "
Policy Number 8594,Country 053,Claim Number 15703,DODGE,CHARGER,2018,2018,1. Saloon, 100K to 150K ," 2,520.00 "
Policy Number 8671,Country 095,Claim Number 16096,MITSUBISHI,LANCER EX,2018,2018,1. Saloon, 25K to 50K ," 4,900.00 "
Policy Number 5558,Country 136,Claim Number 10600,TOYOTA,LAND CRUISER,2018,2018,2. Four Wheel Drive, 200K to 250K ," 4,200.00 "
Policy Number 5618,Country 136,Claim Number 10391,MERCEDES BENZ,CLS-CLASS,2018,2018,1. Saloon, 200K to 250K ," 78,121.00 "
Policy Number 5476,Country 095,Claim Number 10582,MERCEDES BENZ,V-Class,2017,2018,3A. Light Pick-Ups and Vans upto 3 Tons, 250K+ ," 3,300.00 "
Policy Number 8378,Country 091,Claim Number 15808,HYUNDAI,TUCSON,2018,2018,2. Four Wheel Drive, 0 to 25K ," 1,600.00 "
Policy Number 7880,Country 062,Claim Number 14980,TOYOTA,LAND CRUISER,2018,2018,2. Four Wheel Drive, 150K to 200K ," 1,650.00 "
Policy Number 8671,Country 095,Claim Number 16096,MITSUBISHI,LANCER EX,2018,2018,1. Saloon, 25K to 50K ," 9,900.00 "
Policy Number 8821,Country 137,Claim Number 15832,MITSUBISHI,OUTLANDER,2018,2018,2. Four Wheel Drive, 50K to 75K ," 2,000.00 "
Policy Number 9000,Country 091,Claim Number 16084,HONDA,ACCORD,2018,2018,1. Saloon, 25K to 50K , 400.00 
Policy Number 7852,Country 053,Claim Number 14854,MAZDA,CX-9,2018,2018,2. Four Wheel Drive, 75K to 100K , 740.00 
Policy Number 8175,Country 136,Claim Number 16906,GMC,SIERRA,2017,2018,3A. Light Pick-Ups and Vans upto 3 Tons, 100K to 150K , 500.00 
Policy Number 8723,Country 091,Claim Number 16494,DODGE,CHALLENGER,2018,2018,1. Saloon, 50K to 75K ," 1,400.00 "
Policy Number 5881,Country 069,Claim Number 10983,BENTLEY,CONTINENTAL GT,2018,2018,1. Saloon, 250K+ ," 7,100.00 "
Policy Number 8613,Country 113,Claim Number 16164,NISSAN,SUNNY,2018,2018,1. Saloon, 25K to 50K , 550.00 
Policy Number 13679,Country 056,Claim Number 23691,HONDA,CIVIC,2017,2017,1. Saloon, 0 to 25K ," 2,150.00 "
Policy Number 7242,Country 062,Claim Number 14165,TOYOTA,COROLLA,2017,2017,1. Saloon, 0 to 25K ," 11,985.00 "
Policy Number 13678,Country 038,Claim Number 23707,LEXUS,LS300,2017,2017,1. Saloon, 0 to 25K ," 2,500.00 "
Policy Number 3971,Not Available,Claim Number 6198,HONDA,CIVIC,2017,2017,1. Saloon, 0 to 25K , 600.00 
Policy Number 7309,Country 118,Claim Number 14323,TOYOTA,COROLLA,2017,2017,1. Saloon, 25K to 50K ," 1,050.00 "
Policy Number 7309,Country 118,Claim Number 14323,TOYOTA,COROLLA,2017,2017,1. Saloon, 25K to 50K ," 1,050.00 "
Policy Number 7199,Country 091,Claim Number 14319,TOYOTA,COROLLA,2017,2017,1. Saloon, 25K to 50K ," 1,000.00 "
Policy Number 14799,Country 038,Claim Number 26028,TOYOTA,CAMRY,2017,2017,1. Saloon, 50K to 75K ," 207,262.00 "
Policy Number 7350,Country 095,Claim Number 14405,TOYOTA,COROLLA,2017,2017,1. Saloon, 25K to 50K ," 1,620.00 "
Policy Number 7478,Country 022,Claim Number 14287,BMW,7 SERIES,2017,2017,1. Saloon, 150K to 200K ," 9,500.00 "
